oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	Voted	2.815	1	1	999999999	20009	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20009999	1	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	3.0982	1	1	99999999	10030	REP	Complete	1	1. Registered at this address	-1. Inapplicable	20079999	1	1	1	0	1	0	missing data	missing data	1	1	1	1	active	NA	NA	NA	NA
0	No post-election IV	1.2438	1	1	999999999	10056	OTH	Complete	1	1. Registered at this address	"-6. Not asked, unit nonresponse (no Post-election interview)"	19799999	1	1	0	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	No post-election IV	1.6822	1	1	999999999	10050	OTH	Complete	1	1. Registered at this address	"-6. Not asked, unit nonresponse (no Post-election interview)"	19659999	1	1	0	1	1	1	match	match	1	0	1	1	active	NA	NA	NA	NA
0	Not voted	0.5112	1	1	999999999	10043	NPA	Complete	0	2. Registered at a different address	-1. Inapplicable	20049999	0	0	0	0	1	1	match	match	0	0	1	1	dropped	NA	101	NA	FALSE
0	Not voted	0.5607	1	1	999999999	20013	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	19669999	0	0	0	0	1	0	match	match	1	1	1	1	inactive	NA	NA	NA	NA
0	Not voted	1.8072	1	1	999999999	10049	OTH	Complete	1	2. Registered at a different address	-1. Inapplicable	20049999	0	1	1	0	1	1	match	match	0	0	0	0	active	NA	202	NA	TRUE
0	"Not voted, unregistered"	0.3017	1	1	999999999	10044	UNK	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	1	0	missing data	missing data	0	0	1	1	unregistered	NA	NA	NA	NA
0	"Not voted, unregistered"	0.4856	1	1	999999999	10047	UNK	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	1	1	missing data	missing data	0	0	0	0	unregistered	NA	NA	NA	NA
0	Voted	0.3788	NA	NA	NA	20012	NA	Complete	NA	3. Not currently registered	1. Registered at this address	NA	NA	NA	NA	NA	0	NA	missing data	missing data	NA	NA	NA	NA	NA	3	NA	NA	NA
0	Voted	0.6373	1	1	999999999	910062	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	19799999	0	1	0	1	1	0	match	mismatch	0	1	1	1	active	NA	NA	NA	NA
0	Voted	0.802	1	1	999999999	10046	REP	Complete	1	2. Registered at a different address	-1. Inapplicable	20089999	1	1	0	0	1	1	match	match	0	0	0	0	active	NA	403	NA	TRUE
0	Voted	0.8345	3	3	XX-999900000000000	10059	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	1	1	0	1	1	NA	match	match	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.8997	1	1	999999999	20015	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	19669999	1	1	0	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.9046	1	1	999999999	10063	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	19989999	1	1	0	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.2823	1	1	999999999	10058	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	19789999	1	1	0	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.3807	1	1	999999999	10053	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	20119999	1	0	0	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Not voted	0.713	1	1	99999999	10069	DEM	Complete	0	3. Not currently registered	1. Registered at this address	20009999	0	0	0	0	1	1	match	match	0	0	1	1	dropped	NA	NA	NA	NA
0	"Not voted, unregistered"	0.1833	3	3	XX-999900000000000	40025	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.4372	1	1	999999999	10068	NPA	Complete	1	1. Registered at this address	-1. Inapplicable	20099999	1	1	0	0	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.6732	1	1	99999999	50017	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	1	1	1	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
