oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	vendorbirthyear	dobmatch	vendordob	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20040000	0	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20080000	1	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	20120000	1	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20120000	1	0	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	19960000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20120000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20120000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	20000000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	70067	NA	Other non-contact	1	NA	NA	20120000	1	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20120000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20120000	0	0	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50066	NA	Other non-contact	1	NA	NA	NA	0	1	1	1	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	80060	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50064	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50064	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	10179	NA	Other non-contact	1	NA	NA	NA	0	0	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50065	NA	Other non-contact	1	NA	NA	NA	1	1	1	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50065	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50065	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50065	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	70066	NA	Other non-contact	1	NA	NA	NA	1	1	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	60061	NA	Other non-contact	1	NA	NA	NA	1	1	1	1	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	50066	NA	Other non-contact	1	NA	NA	NA	0	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	70066	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxx	80063	NA	Other non-contact	1	NA	NA	NA	0	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	60063	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	70062	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	10179	NA	Other non-contact	1	NA	NA	NA	1	0	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	80063	NA	Other non-contact	1	NA	NA	NA	0	0	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	50065	NA	Other non-contact	1	NA	NA	NA	0	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	60066	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	50064	NA	Other non-contact	1	NA	NA	NA	0	1	0	0	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	50064	NA	Other non-contact	1	NA	NA	NA	1	1	0	0	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	80063	NA	Other non-contact	1	NA	NA	NA	0	0	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	50065	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	60063	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	70066	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxx	70062	NA	Other non-contact	1	NA	NA	NA	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxxxxxxxxxx	80063	NA	Other non-contact	0	NA	NA	NA	0	0	0	0	0	NA	missing data	NA	missing data	NA	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxxxxxxxxxx	70061	NA	Other non-contact	0	NA	NA	NA	0	0	0	0	0	NA	missing data	NA	missing data	NA	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxxxxxxxxxx	70061	NA	Other non-contact	0	NA	NA	NA	0	0	0	0	0	NA	missing data	NA	missing data	NA	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxxxxxxxxxx	80063	NA	Other non-contact	0	NA	NA	NA	0	0	0	0	0	NA	missing data	NA	missing data	NA	NA	NA	NA	NA	NA	1
NA	NA	NA	3	3	xx-xxxxxxxxxxxxxxxxxxxx	60066	NA	Other non-contact	0	NA	NA	NA	0	0	0	0	0	NA	missing data	NA	missing data	NA	NA	NA	NA	NA	NA	1
